,I,b,t1,t2,t3,t4,t5
0,0,47,True,True,True,False,False
1,1,48,True,True,True,True,True
2,2,46,True,True,False,False,False
4,4,38,True,True,True,False,False
5,5,37,True,True,True,False,False
6,6,28,True,False,False,False,False
7,7,36,True,True,True,True,True
9,9,17,True,True,True,True,True
10,10,26,True,True,True,True,True
11,11,16,True,True,True,True,True
15,15,14,True,True,True,True,True
16,16,24,True,False,False,False,False
17,17,34,True,True,True,True,False
18,18,13,True,True,False,False,False
19,19,23,True,True,True,True,True
20,20,12,True,False,False,False,False
22,22,33,True,False,False,False,False
23,23,21,True,False,False,False,False
25,25,31,True,True,True,True,True
26,26,44,True,True,True,True,True
27,27,43,True,True,True,False,False
28,28,41,True,True,True,True,True
33,33,54,True,True,True,True,True
34,34,61,True,True,True,True,True
35,35,62,True,True,True,True,True
43,43,74,True,True,True,True,False
44,44,84,True,True,True,True,False
45,45,85,True,True,True,True,True
47,47,65,True,True,True,True,True
48,48,86,True,True,True,False,False
49,49,76,True,True,True,True,True
50,50,87,True,True,True,True,True
51,51,77,True,True,True,True,True
52,52,66,True,True,True,True,True
53,53,78,True,True,True,True,True
56,56,55,True,True,True,True,True
57,57,56,True,True,False,False,False
58,58,58,True,True,True,True,True
59,59,57,True,False,False,False,False
